Word,Log_Freq_HAL,I_Mean_RT
afternoons,6.709,742.853
afternoon's,4.443,762.727
aftershave,3.850,766.375
aftertaste,4.970,921.655
afterthought,6.023,716.531
afterward,7.503,755.647
afterwards,8.919,699.968
again,12.428,577.235
against,12.059,634.152
Agamemnon,5.136,"1,044.944"
Agamemnon's,2.773,"1,079.786"
agape,5.497,861.294
agar,6.690,820.333
Agatha,5.438,908.105
age,11.110,530.912
aged,8.142,644.455
ageless,5.176,688.062
agencies,9.511,659.594
agency,10.038,641.968
agenda,9.193,739.030
agent,10.002,626.667
agents,9.601,631.706
agent's,6.791,646.097
ages,9.762,679.600
Aggie,6.254,801.750
Aggies,5.710,819.250
agglomerate,2.485,"1,076.667"
agglomeration,4.127,891.222
agglutinating,3.219,"1,207.000"
agglutination,1.609,"1,273.000"
aggrandize,3.296,"1,023.429"
aggravate,5.771,821.080
aggravated,6.676,751.600
aggravates,3.951,925.875
aggravation,5.866,839.897
aggregate,7.143,790.185
aggregation,5.756,851.800
aggregations,4.344,915.500
aggression,8.010,711.000
aggressions,4.522,821.909
aggressive,8.838,675.206
aggressively,7.162,674.594
aggressiveness,5.916,812.750
aggressor,6.452,732.839
aggrieve,0.000,837.455
aggrieved,5.063,926.650
aghast,5.375,693.593
agile,6.447,661.967
agilely,1.609,"1,091.714"
agility,7.113,765.038
aging,7.992,668.121
agitate,5.198,746.067
agitated,6.260,852.484
agitating,4.804,809.630
agitation,6.692,934.500
agitator,5.366,838.958
agitators,4.357,988.048
agleam,0.000,"1,375.000"
aglow,3.989,709.000
Agnes,6.444,827.704
agnostic,6.929,800.786
agnostics,5.549,970.250
ago,11.662,697.800
agonies,4.727,824.103
agonize,4.357,756.903
agonized,4.970,792.571
agonizes,3.258,857.667
agonizing,6.138,720.781
agony,7.716,657.879
agoraphobia,3.367,"1,114.476"
agrarian,5.984,"1,054.786"
agree,11.546,589.844
agreeable,6.486,767.118
agreeableness,1.386,989.040
agreeably,3.951,819.314
agreed,9.994,664.030
agreeing,7.728,665.250
agreement,10.066,668.300
agreements,8.501,773.121
