Word,Log_Freq_HAL,I_Mean_RT
Algerians,0.6990,823.269
algorithm,1.4472,932.857
alias,2.3201,813.355
alibi,2.6304,731.889
alibis,1.7709,921.667
Alice,3.1313,646.636
Alicia,7.002,763.034
alien,2.9494,565.212
alienable,1.386,815.103
alienate,1.4771,815.121
alienated,1.6232,795.355
alienates,4.533,802.2
alienation,1.3617,784.061
aliens,2.6920,702.939
alight,1.3424,815.533
align,1.5441,673.963
aligned,1.6128,715.345
aligning,0.8451,869.724
alignment,1.8325,697.562
alignments,6.14,785.0
alike,2.7634,646.065
aliment,2.079,886.619
alimony,2.1239,856.516
alive,3.8965,603.161
alkali,1.2788,878.643
alkaline,1.2304,793.871
alkalis,1.792,1046.0
all,5.4204,592.333
Allah,2.3541,779.444
Allan,2.2672,798.1
allay,1.2553,745.357
allegation,1.4472,762.107
allegations,2.0453,826.156
allege,1.0792,795.0
alleged,2.3096,712.735
allegedly,2.0569,875.276
allegiance,2.2041,789.697
allegiances,1.0000,873.032
alleging,1.2304,799.931
allegoric,1.386,915.842
allegorical,0.9542,951.333
allegory,1.1139,734.556
allegretto,3.258,888.625
allegro,6.492,708.667
Alleluia,1.5051,1131.5
Allen,2.7853,699.686
Allen's,5.835,655.567
allergen,0.6021,868.923
allergic,2.6170,643.333
allergies,2.1461,673.031
allergy,1.9395,739.857
alleviate,1.3802,788.484
alleviating,0.6990,834.963
alleviation,4.554,820.926
alley,2.9201,644.333
alleys,1.7709,690.71
alleyway,1.6128,764.276
alleyways,0.9542,862.8
alliance,9.2,700.935
alliances,1.2304,720.968
alliance's,4.7,807.303
allied,8.129,684.875
allies,2.4166,655.909
alligator,2.2529,637.97
alligatored,0.0,1061.231
Allison,8.053,765.647
Allison's,5.05,662.25
alliterate,2.303,926.476
alliteration,1.0000,893.889
alliterative,4.234,1108.667
allocable,0.0,1144.211
allocate,0.9542,694.067
allocated,0.9031,697.1
allocation,1.0414,781.733
allocations,0.6021,844.344
allopathic,4.779,955.375
allopathy,4.007,890.5
allot,0.9542,837.333
alloted,5.153,781.938
allotment,1.3010,815.619
allotments,4.06,923.111
allotted,1.1761,711.967
allotting,5.088,743.429
allow,3.3549,591.382
allowable,0.7782,792.75
allowance,2.4249,666.727
allowances,1.4150,666.031
allowed,3.3593,643.844
allowing,2.3997,723.853
allows,2.4472,637.871
alloy,1.7243,698.433
alloys,1.0792,677.0
allspice,0.6021,831.368
alluded,1.1761,772.333
alludes,5.565,765.407
alluding,1.0000,842.143
allure,1.4914,689.935
allurement,0.0,879.261
alluring,1.3424,707.067
allusion,0.8451,639.667
allusions,0.8451,760.87
allusive,2.398,747.138
allusiveness,0.0,970.04
ally,7.958,737.121
almanac,7.225,733.741
Almighty,2.6503,726.867
almond,1.7559,714.935
almonds,1.8451,652.516
almost,3.9938,605.938
alms,4.898,709.812
aloe,1.2041,685.533
aloes,2.398,1082.182
aloft,1.5798,719.581
alone,4.1969,571.5
aloneness,3.091,728.393
along,3.9699,592.333
alongside,2.2856,764.6
aloof,1.5315,702.154
aloofness,4.431,813.783
aloud,1.9777,664.531
Alp,0.8451,799.519
alpha,10.504,671.618
alphabet,2.1072,659.147
alphabetic,6.668,821.914
alphabetical,1.6532,828.364
alphabetized,1.1761,784.529
Alpine,1.8195,739.903
Alps,1.7993,708.324
already,4.2108,568.424
alright,8.705,597.871
Al's,6.847,697.5
also,4.0224,570.781
altar,2.4150,592.657
